_id,screen_name,text
1397654262331723778,pluralrevista,"Solo los profesionales pueden aconsejar sobre un buen vino @esbrollador lo sabe, por eso su carta de vinos recoge los sabores más exigentes #recomendadoenradiobalear ah!!! Y... ¡salut! en Es Brollador https://t.co/V9W2E41ENl"
1397654376253112324,star_spanish,"¿Quién puede ser #cactus?
@masksingera3 en Madrid, Spain https://t.co/E9uvGndpNi"
1397654455521320960,FelixVaper,"Gente guapa @wipi31 @marinagp8 y el colega ;) 🥰😘😘😘 STOP TABACO ! en Granada, España https://t.co/oIDn8Wlj4q"
1397654578791919625,ReyesPonce16,"Love being a tourist again ☀️ en Tenerife, Islas Canarias, España https://t.co/PGEBUwxX6v"
1397654616729440268,adeltoros,".  
.
.
.
.
#deltoroantonio
#grancanaria
#canaryislands
#extremesports
#bodyboarding
#canon
#CanonEspaña
#canonphotography
#picoftheday
📸 1799 Antonio del Toro 💯🌊 en La Santa, Lanzarote https://t.co/37ckJbbedI"
1397654707477401605,star_spanish,"Yo cuando alguien me da su opinión sin pedirla
@terelubcampos en Madrid, Spain https://t.co/fTBstkQcsb"
1397654737688870916,Achikitu,"¡Nuevo juego! Ya puedes reservar tu pase! 💭Y ...escapa del humo! 
Reserva gratis en https://t.co/frrZGZ3Jas ! 
Gracias al @aytodonbenito por apostar por estas iniciativas!
@junta_ex 
@cat2heory https://t.co/NSV8zJZUUq"
1397655184319291394,merygomez399,"Días de sol☀️ en Tenerife, Canary Islands https://t.co/6sB6Xtz5Ek"
1397655275851689990,MaraBrans,"Siembra sonrisas y cosecharás felicidad…
•
•
Sow smiles and you will reap happiness...
•
•
Zaai glimlachen en je zult geluk oogsten...
•
•
#lunallena #superluna #supermoon #fullmoon en Sevilla La Nueva, Madrid, Spain https://t.co/OKeEukYU3d"
1397655381107646464,star_spanish,"Yo al de @correos cuando le pregunto dónde está mi paquete
#rociocarrasco en Madrid, Spain https://t.co/b07eKTclJO"
1397655829923262464,gorka_matute,"Ven  astrabudua y pasolo genial en nuestras clase gratuita de DANZA ORIENTAL
RESERVA 679480970
Viernes 28 mayo a las 19;20 en Bailes de Salón dance GM https://t.co/6wLoFG0hoq"
1397655864052441094,star_spanish,"Yo organizando la orgía
@ssantiagosegura en Madrid, Spain https://t.co/7almfSx85F"
1397656099688529921,OtroTaller,"💣TRA mesa. Desde el Valle del Kas para el mundo🔥

#vallekascity 
#valledelkas 
#diseñodemobiliario en Vallecas https://t.co/73hdjETdLx"
1397656160593920001,star_spanish,"Las malotas de clase cuando la lían 
@sylviapantoja @larasajen @supervivientestv en Madrid, Spain https://t.co/cg8ro1siYW"
1397656208547405826,regi_1784,"26M2Mil21 SúperLuna. ✨❤
No sé qué tiene que me atrapa. Qué pequeña y qué afortunada me siento. 
GRACIAS GRACIAS GRACIAS. 
#siguecaminando
#fullmoon #love #nikon en Sanchidrián, Spain https://t.co/nLmq1BMasw"
1397656525288751108,afonsodeleon,Espectacular #BAJAMAR se está observando hoy desde antes de las 9 p.m. en la playa de El Muelle de #Garachico en virtud del #plenilunio de la Luna de Flores de hoy miércoles 26/05/2021...interesante...#lunadeflores #moon https://t.co/bxDpAPDVjI
1397656568431316992,andremartinez9,"Pues…. Si somos rockeros se dice y punto 🎸🤘🏼👨‍🎤🤘🏼🎸
.
#GooDNight😴
&amp;
#SweetDreams🌟
.
#MarcoIsHere👶🏼
#Piesquín🍑
#PiesquiRockeru🤘🏼👨‍🎤 en Barrio de El Coto https://t.co/WVSZLnPbv8"
1397656570482339846,josu__ortega,🤗 en Buitrago del Lozoya https://t.co/Os7llm0Qh6
1397656993763110912,charlyrodrigue7,"Buenas noches en Ferrol, Spain https://t.co/6spxc637FX"
1397657008988377092,cdsobradillofc,FINAL | INFANTIL DE PREFERENTE C.D. SOBRADILLO A-2A.D. CARDONAL LAGUNA A-1 #SomosCDS!!💚⚽️💪💪💪 en Campo De Futbol El Galan (Sobradillo) https://t.co/pliFiUrCv9
1397657338664923143,Princes04883894,"Fuerteventura, septiembre del 2020. #molino #fuerteventura #islascanarias #windmill #canaryislands #visitfuerteventura #spain #visitspain #ilovecanaryislands en La Oliva-Fuerteventura https://t.co/R72QNDbmcg"
1397657444520706051,pluralrevista,¿Una reforma? ¿Una obra nueva? @domos.construcciones y mañana no olvides escuchar #territorioplural de https://t.co/Bxa1u0BaRh 96.4FM y 102.7FM https://t.co/9bONFQpBwl en Radio https://t.co/CpFgJK6QCB https://t.co/CpeytSE6CO
1397657813514653698,silver_pdcns,"Luna llena, Luna roja en San Sebastián de los Reyes https://t.co/6Nxxm39n2d"
1397658961613144065,carlosgarciaalm,"""El hecho de que no cuentes las cosas no quiere decir que no existan"".
.
#carlosgalmonacid en Gáldar, Canarias, Spain https://t.co/2jURg8T56v"
1397658988670500864,gomezdesegura,Soñar y trabajar!💪🏌🏻 #dreamscometrue en Golf Jundiz - Vitoria https://t.co/iftBjEuzYN
1397659277582606342,1smile4_JByAM,🌲🌳 en Tenerife https://t.co/GkJfifKvxO
1397659522303512580,Conchimr1,Buenas noches 🌏🌍 felices sueños 😘😴😴😘😘😘 en Badalona https://t.co/99OvPMQWpo
1397659561448849412,Ronny2101,"😍❤ te amo Isabella ❤😍 en Astorga, Castilla y León, Spain https://t.co/MQRfXx6lOb"
1397659813551640577,namifruits,"Ya se encuentran las primeras nectarinas de carne blanca NAMISWEET en los mercados. #nectarina, #nectarine en Fraga https://t.co/TEo4RUoKx4"
